Año	Provincia	Localidad	lote	Lat conv	Long Conv	% de infección	ID	Prevalencia	Zona	Columna1	fechacorta	NDVI_mean
2007	Córdoba	Arias	36	33.65	62.5	37.5	37	1	Nucleo	36	2007-01-17	0.864182244501716
2007	Córdoba	Camino a totoral	41	30.7235	64.19133	0	42	0	Nucleo	41	2006-12-03	0.697034578659876
2007	Córdoba	Dean Funes	46	30.3675832	64.3823054	0	47	0	Nucleo	46	2007-02-18	0.703755793878392
2007	Córdoba	Totoral	42	30.71611	64.05758	0	43	0	Nucleo	42	2007-02-18	0.849884943250756
2007	Santa Fe	Venado Tuerto	34	32.73972	62.11556	11.11	35	1	Nucleo	34	2006-12-19	0.812035410606444
2008	Buenos Aires	Colón	40	33.932	60.993	75	87	1	Nucleo	40	2008-03-05	0.791640720538379
2008	Buenos Aires	Pergamino	41	33.916	60.662	0	88	0	Nucleo	41	2008-03-05	0.798515343383917
2008	Córdoba	Arias	52	33.604	62.478	0	99	0	Nucleo	52	2008-02-26	0.842714365019722
2008	Córdoba	Barranca yaco	31	30.87	64.068	7.69	78	1	Nucleo	31	2008-02-18	0.8512483774743
2008	Córdoba	Cañada de Luque	29	30.687	63.709	25	76	1	Nucleo	29	2008-02-18	0.659084631226276
2008	Córdoba	Cañada de luque	32	30.781	63.784	0	79	0	Nucleo	32	2008-02-26	0.79993568580723
2008	Córdoba	Capilla del Sitón	30	30.567	63.662	0	77	0	Nucleo	30	2008-02-18	0.813239639077732
2008	Córdoba	Córdoba	34	31.252	64.184	100	81	1	Nucleo	34	2008-02-26	0.765615958626372
2008	Córdoba	General Paz	36	31.178	64.15	57.14	83	1	Nucleo	36	2008-02-26	0.753187212449384
2008	Córdoba	Jesús María	35	31.017	64.112	50	82	1	Nucleo	35	2008-02-26	0.82425826274686
2008	Córdoba	Morteros	51	30.685	61.99	0	98	0	Nucleo	51	2008-03-29	0.656415636523783
2008	Córdoba	Totoral	33	30.715	64.019	25	80	1	Nucleo	33	2008-02-02	0.767297808118943
2008	Santa Fe	Angélica	44	31.542	61.529	0	91	0	Nucleo	44	2008-02-18	0.760593775407049
2008	Santa Fe	Cañada Rosquín	39	31.99	61.61	33.33	86	1	Nucleo	39	2008-02-18	0.825411824514994
2008	Santa Fe	Curupaty	46	30.387	61.663	20	93	1	Nucleo	46	2008-02-26	0.726480398127787
2008	Santa Fe	Hughes	42	33.806	61.394	33.33	89	1	Nucleo	42	2008-02-18	0.752837028921871
2008	Santa Fe	Rafaela	47	31.216	61.497	0	94	0	Nucleo	47	2008-02-18	0.829365509320339
2008	Santa Fe	San Genaro	38	32.322	61.395	50	85	1	Nucleo	38	2008-01-17	0.686590233324223
2008	Santa Fe	Venado Tuerto	53	33.683	62.142	0	100	0	Nucleo	53	2008-02-10	0.815493105763959
2008	Santa Fe	Villa Trinidad	48	30.221	61.781	0	95	0	Nucleo	48	2008-02-26	0.741638040490674
2009	Chaco	Charata	27	27.251	61.198	0	136	0	Marginal	.	2009-01-09	0.82511241535016
2009	Chaco	Las Breñas	28	27.127	61.091	0	137	0	Marginal	.	2009-02-10	0.81971104619837
2009	Chaco	Roque Saenz Peña	34	26.837	60.44	0	143	0	Marginal	.	2009-01-09	0.823593983007236
2009	Chaco	S/D	29	27.445	61.55	33.33	138	1	Marginal	.	2009-01-09	0.833974088906667
2009	Chaco	S/D	30	27.482	60.883	60	139	1	Marginal	.	2009-01-01	0.789217426432108
2009	Chaco	S/D	33	26.947	60.479	0	142	0	Marginal	.	2009-01-09	0.838059683391576
2009	Chaco	San Bernardo	32	27.283	60.673	20	141	1	Marginal	.	2009-01-17	0.822406088276312
2009	Córdoba	Baldisera	10	32.949	62.257	75	119	1	Nucleo	.	2009-02-26	0.821109107155609
