Prevalencia,Precipitacion_S1,Temperatura_M1,total.evaporation_S1,Punto.rocio_M1,Humedad.relativa_M1,DirViento_M1,Viento_M1,Precipitacion_S2,Temperatura_M2,total.evaporation_S2,Punto.rocio_M2,Humedad.relativa_M2,DirViento_M2,Viento_M2,Precipitacion_S3,Temperatura_M3,total.evaporation_S3,Punto.rocio_M3,Humedad.relativa_M3,DirViento_M3,Viento_M3,Precipitacion_S4,Temperatura_M4,total.evaporation_S4,Punto.rocio_M4,Humedad.relativa_M4,DirViento_M4,Viento_M4,Precipitacion_S5,Temperatura_M5,total.evaporation_S5,Punto.rocio_M5,Humedad.relativa_M5,DirViento_M5,Viento_M5,Precipitacion_S6,Temperatura_M6,total.evaporation_S6,Punto.rocio_M6,Humedad.relativa_M6,DirViento_M6,Viento_M6,Precipitacion_S7,Temperatura_M7,total.evaporation_S7,Punto.rocio_M7,Humedad.relativa_M7,DirViento_M7,Viento_M7,Precipitacion_S8,Temperatura_M8,total.evaporation_S8,Punto.rocio_M8,Humedad.relativa_M8,DirViento_M8,Viento_M8,Precipitacion_S9,Temperatura_M9,total.evaporation_S9,Punto.rocio_M9,Humedad.relativa_M9,DirViento_M9,Viento_M9
0,40.7722242,17.4526135,-28.3392966,9.6921036,62.1542888,102.8932756,9.5500029,29.9803246,19.9308933,-31.6338604,11.7108447,61.320495,82.0529869,10.5245832,58.8045426,21.0954985,-32.3273595,15.04153,69.0954405,93.0443416,8.8097085,23.2925697,21.4200261,-33.4991766,15.1953734,68.2744459,86.9208532,6.3305669,88.1711667,21.7642181,-35.734158,16.5286947,73.1269508,86.8076774,7.9699748,52.4947684,23.3650358,-43.684124,18.5208002,74.6101101,65.7341663,8.2292372,92.8123165,22.3704011,-36.1647233,19.2846941,82.7948254,124.2751664,7.7553177,18.2306293,20.8924276,-41.2601875,15.2898472,70.9553998,150.3972534,6.2477564,52.3171501,21.5942248,-38.1234437,17.7563232,79.0192193,105.8756739,6.1954916
1,68.8792767,22.2116833,-34.8577108,13.5529298,59.3870824,118.7849961,8.6053238,33.4090324,23.3967417,-46.0111806,15.5926727,61.9024907,82.2658053,8.7861342,105.8100807,25.132405,-37.9701704,17.1004012,62.0784769,70.3193804,7.1483906,66.6627496,23.6995601,-53.7402239,17.3532349,67.879986,72.6793036,9.0076054,23.3351435,25.897401,-42.3048316,20.6890154,73.298985,90.9528418,9.311781,22.9035118,23.9583858,-44.942474,17.2443928,66.6892621,135.3030387,7.8798126,38.1816463,24.1818314,-34.0678738,18.4837109,71.34632,119.1761209,8.5292104,28.1528838,24.3704187,-43.7095668,18.0520255,68.3751155,118.3772465,7.0540538,33.4302829,23.3090368,-33.8698309,16.8408042,67.4033838,111.9743646,8.4055847
1,32.8822642,22.9067981,-55.9737301,16.3945009,67.1218352,74.5008623,9.9239627,51.9908692,24.8869588,-46.9054319,20.0733181,75.1892473,82.090282,12.3131625,55.2423546,23.1505509,-52.5565566,17.2943833,70.0714518,100.8635506,9.3846055,47.6995991,23.4725892,-39.2783517,18.0417269,72.1944181,126.2740633,11.1215898,40.020717,23.700425,-48.2434314,18.3880079,72.6710145,97.3313592,7.743997,44.9212448,22.2405712,-45.0961199,17.156218,73.0862532,90.9568612,10.2235043,60.445566,21.4337577,-44.0454008,16.6646908,74.6548527,128.5282813,8.6009051,113.9969363,21.0697893,-31.3750999,17.5293189,80.5613069,99.7740803,9.7195247,47.0315307,20.8944033,-35.6147271,15.8951255,73.4511988,163.6318193,8.976966
0,59.00061,23.0339665,-37.0697184,17.4801179,71.3669312,96.3833025,10.3109357,17.3943021,23.5050274,-39.8184527,16.4934538,64.9595531,103.4669025,6.8331296,36.4400462,22.2979938,-34.3336733,15.8946717,67.4636335,87.4135772,10.1187295,15.5905287,22.9331621,-31.9639593,15.6458307,63.8885834,81.4895755,9.0599765,104.4558003,20.0678934,-26.3593663,15.8171806,77.3853308,96.1304076,9.9340306,7.4256122,20.4731888,-30.6885745,14.886678,70.626862,82.6124244,7.5638684,109.9110198,19.7413115,-20.2607652,16.6114478,83.2903746,116.4056876,7.6653087,30.970779,18.443182,-25.7363869,14.0493804,75.7239753,130.8300454,6.8046328,8.4058279,19.9308551,-21.5791948,15.6043846,76.6035796,64.6095789,10.9669286
0,42.698382,22.2142806,-38.7519691,18.1319897,77.8920477,119.8001957,7.1970307,17.6115014,22.9736228,-45.5349423,16.9501188,69.0517445,138.7248411,5.3552369,41.9452355,21.5027383,-38.0962547,16.1351095,71.8619947,160.18291,7.3025978,17.325605,21.6845455,-35.4559636,16.3595352,72.1043121,76.1531597,5.4149326,111.1174687,19.4874002,-28.1733498,16.1426526,81.8222283,140.5814151,9.1445253,10.6869846,19.9219926,-35.2918301,15.3693033,75.3184595,124.141879,6.1344349,170.7377684,19.3727731,-20.2917838,17.2506323,88.1283702,103.2098822,7.8053501,37.714836,18.1884457,-26.4005028,14.8165761,80.877375,180.6909867,5.3945616,27.3778522,19.3037392,-22.7563241,15.9806053,81.4923721,107.0957084,8.0938311
1,16.9085144,24.1710161,-41.1884971,15.9020855,60.7521126,122.5449787,8.9618237,2.1730864,27.9016891,-34.7405011,17.9790937,55.2544908,114.8843427,7.1759133,59.5970311,26.4826681,-36.0545218,16.3677557,54.5525822,176.7873254,9.8555884,20.1144484,23.435081,-41.0198011,15.6360615,62.0078437,83.8560321,9.7201637,36.9122412,23.5534967,-41.5832847,18.5970988,74.3566237,157.7379934,8.3342511,18.8659121,22.8712632,-33.9006316,15.5811607,64.0902794,107.4117478,8.1404848,34.691295,25.4412387,-28.4313392,19.2143169,68.8874828,101.111146,7.5278794,36.4697874,22.5330387,-31.2779518,17.8719731,75.2643166,193.0741143,13.2108801,2.3365321,21.4527241,-22.3596413,14.3811494,64.2827973,101.0855392,8.6349557
1,14.2335006,25.7312794,-42.4338384,15.941982,55.1451939,181.7652504,9.6408386,54.3545721,22.5457232,-34.1268675,16.1450734,67.7480318,88.201965,6.7925244,90.8945661,20.950067,-35.7104428,17.6690877,81.9459639,156.6193285,7.3380687,35.5840401,21.3197344,-44.192994,15.9544286,71.7508836,127.9033565,7.1573749,73.4914216,22.3886904,-36.9270742,18.0792123,77.0116935,82.4190415,4.3859487,34.2061386,21.925477,-39.5807121,17.6505039,77.2838834,193.9343927,6.4636434,33.0992892,20.1627979,-30.3656049,15.7264748,76.1550917,150.7956052,4.2367165,10.252488,21.0064424,-30.8519481,15.8005679,72.3927454,139.6538246,5.8972176,56.9366973,19.5607971,-22.4871049,16.4029198,82.43496,140.7039281,7.524975
0,22.65656,23.7426584,-34.5014939,13.372471,52.7778458,69.1810132,12.2351229,31.0185292,23.2593115,-25.3467942,16.6911226,68.2065043,92.9408001,12.2295915,75.5411016,23.4777695,-37.7097446,17.2615053,69.1360624,164.9105954,9.5047711,27.1709058,22.7982786,-43.7519671,16.155532,66.3631471,70.5393794,11.0881544,53.4833029,23.1039452,-36.8755907,19.9953316,82.7714827,92.5094673,7.0536242,6.9417342,21.0450389,-32.4830571,15.8687253,72.4746586,160.1428661,13.9590907,6.8662289,21.9585052,-22.6543061,14.2921606,62.0909611,56.3146492,10.0543568,59.5671814,20.9244136,-23.5118717,15.8420641,73.1454086,73.1726213,12.3656874,5.7391635,18.9409002,-25.2375333,12.7178865,67.3824648,228.7777666,8.3717264
1,89.9435368,20.7743628,-32.9707731,16.9602715,79.484665,109.2219274,5.6559413,48.4503564,21.5851407,-42.5153924,16.9555406,75.2420718,128.1138697,6.8724311,23.4022369,21.3368732,-44.2871843,16.0486142,71.9663599,82.8761767,6.242475,114.733319,21.7985177,-32.5670484,19.182712,85.170866,159.2627552,2.724822,15.1719138,21.6328876,-39.083303,16.0174557,70.6220408,177.8521029,5.4943347,33.0064479,19.3238062,-30.620059,15.3300912,78.0041373,88.3388818,4.6516682,53.3175778,21.138801,-27.315123,17.3353472,79.3296407,112.1854248,7.08208,32.5426063,18.9080159,-26.0060066,14.7941208,77.5757066,197.492366,4.568152,2.3518802,14.9422535,-25.1205852,8.2794911,64.6355628,226.1577164,6.2033938
1,83.8589605,23.044073,-32.8546977,17.6044284,72.4462812,122.6529938,6.8153873,32.8462478,23.4002855,-45.27664,17.7795478,70.9903239,169.1099571,8.0689975,20.4714169,23.0806639,-44.2969315,16.7169492,67.5642069,105.1350523,5.7070823,111.8949757,23.5969145,-36.0157937,20.4381075,82.5414376,185.8493372,5.0300002,3.94447,23.3152037,-41.378174,17.0734779,68.2087623,193.3150268,6.7097528,12.0093111,21.2322209,-28.2105859,15.6998341,70.9702894,146.7714423,4.7077292,26.8829625,23.4289621,-22.6744143,17.6528032,70.705492,86.6747387,7.5790883,22.2222111,20.3251871,-24.7161807,15.4036748,73.7563212,142.474712,6.2338161,0.1769514,17.1355152,-16.1288893,8.4633371,57.1116735,163.6679689,8.0891537
