Prevalencia	Humedad.relativa__mean	Temperatura__mean	Viento__mean	Humedad.relativa__mean.1	Temperatura__mean.1	Viento__mean.1	Humedad.relativa__mean.2	Temperatura__mean.2	Viento__mean.2	Humedad.relativa__mean.3	Temperatura__mean.3	Viento__mean.3	Humedad.relativa__mean.4	Temperatura__mean.4	Viento__mean.4	Humedad.relativa__mean.5	Temperatura__mean.5	Viento__mean.5	Humedad.relativa__mean.6	Temperatura__mean.6	Viento__mean.6	Precipitacion__sum	Precipitacion__sum.1	Precipitacion__sum.2	Precipitacion__sum.3	Precipitacion__sum.4	Precipitacion__sum.5	Precipitacion__sum.6
0	58.6518427	21.059505	6.5360722	73.2267762	19.9063399	9.7801561	72.670922	20.7114102	6.4667854	64.036605	22.9765968	7.916849	75.9963655	21.5114471	7.020278	75.7731304	22.4057193	7.7601207	79.2913078	23.34874	8.9977079	6.264499	52.5448382	12.9326524	19.1188893	80.1356877	50.4726446	38.2867384
1	59.6752384	24.4684948	6.7028494	66.7081844	24.9433535	7.6356501	68.7853016	23.5105718	9.6315436	67.1027701	26.4474528	9.4997759	74.8927787	24.3103287	8.6079107	68.2208993	24.3975458	6.6749125	62.1441847	23.9374599	10.1630588	20.3364016	105.1754641	64.3205854	3.5359987	22.1443463	20.7671586	2.5374234
1	75.4781736	23.3067204	11.7073184	69.8587361	22.8849969	7.769156	66.8268271	23.6049127	11.9759154	78.7542139	22.8176634	7.8188317	71.4610161	24.4136765	8.5390232	72.0857965	21.7448319	10.5051253	71.9112149	20.3452439	9.7935242	26.9517159	48.6253563	17.7556621	32.0352792	37.9302301	19.2643658	78.6989282
0	65.9970893	23.0562245	9.3070532	66.2793189	22.4082904	9.3624568	62.7905208	21.1373429	8.5225665	70.1585551	22.3743077	12.8230234	77.1849465	20.6060672	6.6307899	73.4236408	20.7601596	8.531939	70.8079956	20.4939679	8.7441565	18.4075691	22.9895697	3.3852677	48.1077059	68.5539216	7.4240595	28.6303952
0	70.1142038	22.3905926	6.4489773	70.797656	21.6055328	7.1835005	70.045558	19.7712366	4.253317	76.6922125	21.6328643	10.6448722	82.0588636	19.9871358	6.3056421	77.6928538	20.2967923	7.2558282	77.9522233	19.4935727	7.3883384	19.634948	27.6310579	4.5325826	56.6770508	67.2334403	10.6748521	58.5211262
1	50.9285204	29.4762422	9.8014332	56.8960805	24.5234992	9.4679543	58.8803287	22.8471472	9.6010967	74.5355253	24.0840868	9.0874142	69.1172166	23.9265377	8.8308544	67.6356949	21.761679	7.6182654	61.7427023	25.973943	8.7621714	0.5013355	59.2409462	11.8462207	26.2169085	18.9644128	18.8531981	9.9518809
1	74.1350692	20.8459543	7.0414936	83.3551313	20.8878244	7.5197326	72.7376425	22.0085488	6.2149748	68.5575886	20.4672427	7.8753719	84.4398674	22.9842354	2.8760881	79.6313096	21.6434078	5.3454788	66.7627631	21.9065081	5.8495894	27.6814894	71.0390575	22.4020378	13.347483	93.4758201	13.5634363	9.5742419
0	80.6256319	22.638971	8.2348068	64.4307206	23.6692343	11.3702301	65.0432476	21.9148098	11.1553742	76.3238557	24.115473	7.5855079	83.3162542	22.7069015	9.8827773	71.6312073	20.9185002	14.7000103	64.4083336	20.4342198	9.6918634	29.4942375	62.82032	0.1870188	57.4200839	24.3556575	5.2001968	0.4359754
1	73.1860532	21.5759537	6.9488794	70.3361266	21.65573	6.2873867	87.0256379	22.0653162	1.7890802	74.1419874	21.9207189	7.0721676	73.7269806	21.0423839	3.1776114	77.9256518	18.7142751	5.4201716	74.8631171	21.1359821	5.5775044	43.644561	4.8065397	105.1854759	13.0289034	23.9106253	18.8348266	19.7024614
1	68.4212834	23.233808	8.0435684	65.5895735	23.3670977	4.7390937	83.5475353	23.9378864	3.6743671	74.0888447	23.4708491	9.5983672	69.0394301	22.8910632	3.97562	71.0403489	20.5770332	5.6682996	65.6551652	23.3910277	6.0499424	38.2717983	0.8342776	89.4367367	24.1578505	4.6013877	9.5454129	6.0156108
0	69.0263382	23.1443479	8.0728243	66.3762005	23.2119288	5.0139198	83.6979188	23.8714686	3.7341426	74.2336899	23.3723558	9.5080686	69.6233754	22.8145426	3.8340896	71.8015925	20.437222	5.7752754	66.6014518	23.2564132	6.131071	43.0030958	0.735155	90.7227963	22.9009078	5.1148072	11.5639987	6.720391
0	66.517127	23.6046925	9.3254117	59.3337161	23.7488638	7.9221331	68.3799456	25.8605171	6.7153054	75.8942016	23.6858323	12.2218937	65.6975235	22.5468482	10.0896265	61.9587017	21.3120941	10.1230786	58.3373955	24.986196	9.3125437	19.8554383	0.1175019	13.6981577	25.2552912	2.93587	1.9281628	9.8995239
1	67.0799945	23.3941736	9.1782207	60.3545978	23.5703738	8.0514647	72.2254558	25.1256422	7.2372775	77.9623941	23.3948399	12.0773954	68.2179656	22.1148123	10.1448457	62.5631734	21.0761729	9.8474072	59.9477318	24.4702339	9.0577984	20.7412528	0.1143429	26.998651	35.5968461	2.9177502	0.4673424	5.8311195
